text	emotion	language
Ήταν δεμένο με ανθρώπινη σάρκα και το μελάνι ήταν από αίμα.	7	Greek
Τελείωσε την!	1, 2, 3, 4, 7, 8	Greek
Πως παιζεται η ποκα, Μαρλοου;	2	Greek
Οδηγέ, είμαι λίγο απογοητευμένος μαζί σου!	1	Greek
Πώς θα μαζέψoυμε τόσα λεφτά μ' αυτά πoυ γίνoνται;	1, 2	Greek
Αυτή τη φορά δε θα ξεφύγετε.	1, 2	Greek
Πώς είναι;	2, 8	Greek
Εϊ, εσείς οι δυο που κάνετε πολλά χιλιόμετρα, καθίστε κάτω.	1	Greek
Το ίδιο νόμιζες και εσύ.	8	Greek
Απλά, δεν μπορείς να το σκας.	1, 3	Greek
Νομίζεις ότι εγώ το φαντάστηκα ότι 8α γινόταν έτσι;	2, 7	Greek
Ωραίος.	8	Greek
- Θα σας σκοτώσω, κάργιες!	1	Greek
Γιατί φίλησες την σκύλα;	1	Greek
Σου απαντώ. Θα είμαι εκεί, όταν ο Πρόεδρος ανακοινώσει την αύξηση στην ιατροφαρμακευτική κάλυψη.	2, 8	Greek
Ο Δικαστής Καριόλης.	1	Greek
- Δύο δαχτυλίδια, πορτοφόλι.	7	Greek
- Άσ' τον ήσυχο!	1	Greek
Εγώ εκπροσωπώ την πίστη πολλών.	8	Greek
- Ελάτε γρήγορα.	2	Greek
Καταλαβαίνω γιατί πρέπει να είμαι εδώ.	1, 8	Greek
10 % από τα κέρδη σου, αρκούν.	8	Greek
Κατηγορούν εμένα γι' αυτό.	6	Greek
Θα σας δείξω τι κάναμε.	2	Greek
- Πόσα χρόνια πέρασαν;	2, 6, 7	Greek
- Είναι ενάντια στους κανονισμούς.	1	Greek
Συνήθιζα να οδηγάω φορτηγάκι όταν ήμουν στο στρατό, αλλά κοίτα με τώρα!	1	Greek
"- ""Θεέ"", τι είναι η θέση μας;"	4	Greek
- Λέει ψέματα.	1, 8	Greek
Έτσι γίνονται οι γάμοι στα μέρη μας.	1, 8	Greek
- Τι λες για τους Μπέρσεκερς;	2, 4	Greek
Ποιος είναι ο οικοδεσπότης; Ποιος ξέρει;	2	Greek
"Πήρες πίσω το ""πακέτο"" μας."	5, 7	Greek
Πάμε.	2, 5	Greek
Οι δηλώσεις του παραποιήθηκαν με σκανδαλώδη τρόπο.	3	Greek
- Δε θα φύγεις με τον Μπρόντερικ;	2, 7	Greek
Το επεξεργάζομαι και θα βρω τη λύση.	4	Greek
Μέισον το λένε το αγόρι μου.	5	Greek
Ευχαριστώ πολύ, Μέλμπα.	8	Greek
Ο Τζάκ κι η Τζίλ... Κάνουν τη μαφία να μοιάζει με μπούληδες!	1	Greek
Το νησί είναι περικυκλωμένο από φρεγάτες.	4, 8	Greek
Δεν πίστευα στις προφητείες.	3	Greek
Χαλάρωσε λίγο...	4, 6	Greek
Δεν θα ξεπεράσουμε τα 5.000 πόδια.	5	Greek
- Πού θα πας;	7	Greek
Σ τιβ. ξέρεις το άρθρο 1 84 του ναυτικού κανονισμού;	4	Greek
Ο μάρτυς θα καταθέσει για ένα ποτήρι.	6, 7	Greek
Είμαστε παλιοί φίλοι, όλοι μας.	5	Greek
Ηλίθιε.	1, 3	Greek
Πάρε την.	4, 6	Greek
Ναι, οι δηλώσεις μου παραποιήθηκαν.	6, 7	Greek
Έλα εδώ.	2	Greek
Λοιπόν, θα πας στη φυλακή.	5	Greek
Πήγαινε να ζητήσεις συγνώμη!	3	Greek
Ωχ, χριστέ μου.	4	Greek
Έτσι πάει;	7	Greek
Μπράβο το κορίτσι μου.	5, 8	Greek
Το ήξερες όταν σε ρώτησα άμεσα και μου είπες ψέματα.	1, 3, 6	Greek
Είναι εντάξει.	8	Greek
Ούτε να τη θάψει δε μπορεί;	4, 6	Greek
Γιατί δεν την δοκιμάζεις;	1	Greek
Θα πάρει λίγο να συνηθίσεις, έτσι;	3	Greek
'λλη μια μολυβιά και η καριέρα σου στο Ναυτικό θα λήξει.	1, 2, 3	Greek
- Συγγνώμη; Φεύγω γιά Κάννες αύριο.	1	Greek
Δόξα τω Θεό πoυ είσαι καλά.	2, 4, 5, 7	Greek
Μην τη χάσεις. Έστω και για μια φορά, Κερκ, γιατί δεν αδειάζεις μόνος σου τα τασάκια;	1, 3	Greek
Ναι. Δεν θα το' βρισκα.	6	Greek
Γιατί νομίζεις δεν γίνονται μάχες στο Χατζί Σατάρ ή το Ραχίμ;	2	Greek
Θα παίξω.	2	Greek
- Λοιπόν, θα το μάθουμε, όταν θα πρόκειται να καταδικαστεί και θα της προσφέρω μια συμφωνία.	2	Greek
Εκατoντάδες τέτoια, παράγoνται καθημεριvά και απoστέλoνται. Σκλάβoι φτιάχvoυv αυτό τo δηλητήριo... για τoυς φίλoυς, τoυς αγαπημέvoυς μας, τα παιδιά μας.	1, 3	Greek
- Τα πάντα για την γυναίκα που αγαπάω.	5, 8	Greek
- Όχι ακόμη. Δέν εκμεταλλευόμαστε τό έγκλημα εδώ, γιά νά πουλάμε εφημερίδες.	1, 5	Greek
Αδερφή, είμαι έτοιμος να φύγω.	5, 8	Greek
Υποσχέσου ότι δεν είσαι κατάσκοπος και θα σου ορκιστώ κάτι σε αντάλλαγμα.	1, 2, 7	Greek
Ένας ειδικός στο νεογνών.	8	Greek
Σας υπόσχομαι ότι δε θα πω τίποτα.	4	Greek
-Είμαι εντάξει με τη δήλωση;	5, 7, 8	Greek
Πρέπει να δοκιμάσεις! Ίσως να σου καθαρίσει το μυαλό.	5	Greek
- Η Τζουλιέτ είναι νεκρή. - Πώς;	6	Greek
Σε έπαιρνα τηλέφωνο και ήσουν απασχολημένος.	6	Greek
Ας πάμε να πιούμε μια...	5	Greek
Γκιμπς, συμμερίζομαι την απώλειά σου.	6	Greek
- Σε χρειάζομαι, Ίζαμπελ.	5, 8	Greek
'ν επρόκειτο νά βοηθήσει, θά τό φώναζα στούς δρόμους.	1	Greek
- Κ οίτα τη δουλειά σου.	1	Greek
Εκτός απο το να τους ξεφουρνίσει ολόκληρη εξομολόγηση.	5	Greek
Είναι ατόφιο ατσαλιά! Με άκουσες φρικιό;	1	Greek
Η Κριστίν δεν ήξερε γι 'αυτό.	3, 6, 8	Greek
Βοήθησε μας!	4, 6	Greek
Ναι, ειδικά με μια περιουσία στον κόρφο μας.	5	Greek
Θα παίξεις με τον Κιντ;	2	Greek
- Μα δεν μπορεί να το εννοείτε αυτό.	6	Greek
Όσοι έρχονται έχουν όνειρα.	2, 5, 8	Greek
Θα έπρεπε να παραιτηθεί μετά απο την δυσάρεστο περιστατικό στο παρκινγκ.	3	Greek
- Ποιό πράγμα; Θά τό απολαύσεις τό διεθνές τζέτ-σέτ.	5	Greek
Μου έκλεισε ραντεβού μία καλοπροαίρετη φίλη.	5, 8	Greek
Ποτέ δεν θα καταλάβω τις γυναίκες.	6	Greek
Απόλυσέ με αν θέλεις.	1, 3, 8	Greek
- Δεν πεθαίνεις εύκολα, έτσι;	1	Greek
Κερτ, δεν θα έπρεπε να είναι εδώ.	1, 7	Greek
Το παραμύθι πάλι!	1	Greek
Ναι. Ναι.  Παιζει χαρτια σαν Αγγλος αξιωματικος και κυριος.	7	Greek
Ο Χόργκαν τον μετέπεισε.	5	Greek
Πρέπει να ξανακτίσεις ότι κατέστρεψες.	6	Greek
Μου φτιάξατε το κέφι, όσο κανένας!	5	Greek
Περιμένω να δω τι θα αποφασίσει ο Επιθεωρητής!	2	Greek
Είχατε δίκιο.	4, 8	Greek
Να συμπεριφέρεσαι φυσιολογικά.	4	Greek
Δεν γίνεται αλλιώς, Xάνα.	3, 6	Greek
Τις επιλογές που έκανα.	1	Greek
Πότε είχε σχέση η Κάρολιν με τον Ρέημοντ;	2, 3, 7	Greek
Σας έστειλα όλα αυτά τα γράμματα.	7	Greek
Για διαλυθείτε.	1, 4	Greek
Δεν υπάρχει καμία αδυναμία στο να θέλεις κάτι.	7	Greek
Η μικρή έφυγε και καλύτερα να κάνουμε το ίδιο κι εμείς.	1	Greek
Κάνε στην άκρη.	1	Greek
Τι ξερεις εσυ;	2	Greek
Ο Ψυχρός Πόλεμος έχει τελειώσει, κυρία υπηρεσιακή Πρόεδρε.	2, 5	Greek
Περάστε.	5	Greek
-Χαλάρωσε.	6, 7	Greek
- Αν το κάνουμε, θα βρούμε μπελά.	4	Greek
- Δεν είμαι αποτυχημένος.	1	Greek
Μόλις ξεκινήσαμε, Διευθυντά και υπάρχουν πολλά για ψάξιμο.	2	Greek
Δώσ' μου ένα φιλί.	2, 5	Greek
Μ' αυτό το δασμολογικό ποσοστό, οι υποθέσεις αντιντάμπινγκ θα αμβλυνθούν.	8	Greek
Δεν ωφελεί.	3	Greek
Δε λέει κουβέντα.	1	Greek
Μάζεψε όλους τους μηχανόβιους.	2	Greek
- Αλήθεια;	5	Greek
Οτι κάποιοι θα το έκαναν αυτό!	1, 3	Greek
- 'Ελα, Σπίντι Γκονζάλες!	2	Greek
Γιατί τα φοράτε αυτά;	1	Greek
Θες να με τρoμάξεις.	1, 4, 6	Greek
Και τι θα γίνει τώρα;	2	Greek
Όχι, ο Όσκαρ είμαι.	7	Greek
Θα το πιεις όλο, ακόμη κι αν πρέπει να πίνεις όλη νύχτα!	1, 2	Greek
Γι' αυτό επιζήσαμε και οι δυο... γιατί ανήκουμε ο ένας στον άλλον.	8	Greek
Ξέρω λίγα Γαλλικά.	8	Greek
Δίνει τα λεφτά και τα παιδιά ελευθερώνονται.	2	Greek
'κου με, νόμιζα ότι ήμουν ο καλύτερος.	6	Greek
Διώξ' τους όλους.	2	Greek
Πώς γίνεται να ξέρεις τόσα πολλά γι' αυτούς;	7	Greek
Βλέπετε τι έκανε στην μπλούζα της κυρίας Κόχραν;	1, 3, 6	Greek
Πρέπει να την ξεπαστρέψουμε.	1, 3	Greek
- Περίμενε τη σειρά σου.	1	Greek
- Αλήθεια; Ήρθες γιά τόν ίδιο λόγο πού ήρθε αυτός μέ τόν ιδρώτα στό πρόσωπο;	3	Greek
Νικ, πώς βρέθηκα εδώ;	4	Greek
Αναρωτιόμουν πότε θα έρθεις.	1, 2, 3	Greek
Μην κάνεις τίποτα γιατί θα πεθάνεις κι εσύ.	4	Greek
- Μάλιστα καπετάνιε.	2, 6	Greek
Αγοράσαμε μια φάρμα, κοντά στο Γούντστοκ.	5	Greek
Θα νικήσω... τον χρόνο.	1	Greek
Φίλησέ με.	2, 8	Greek
Δεν χρειάζεται να το πείς.	5	Greek
- Εκατοντάδες!	7	Greek
Καλώς ήρθατε στο Χόλυγουντ!	2, 5	Greek
Ow!	6	Greek
- Κάτι για τη μητέρα σου.	1	Greek
Είναι τέλειος. Υπέροχος.	6	Greek
Έπρεπε να δούμε για το τι ήσουν ικανός να κάνεις, Φράνσις.	1	Greek
Τι; Δεν ξέρω τη Σέπαρντ, σου το ορκίζομαι.	4	Greek
-Moυ βγάλατε τo μάτι, σκρόφες!	1	Greek
Πάρε πούλο.	1	Greek
Δύο ώρες για μέσα.	2, 5	Greek
Χωρίς εσένα, Χάρι.	6	Greek
Α, Ντάντε, παλιόφιλε.	7	Greek
Είναι προσωρινό.	2, 4, 8	Greek
Ίσως έπρεπε να της πεις ότι την αγαπάς.	6	Greek
Στην περίπτωσή σας ήθελα να ελέγξω την ειλικρίνειά σας έναντι των συντρόφων σας.	8	Greek
Όχι, μην αγγίζετε αυτό!	4	Greek
Βιάσου!	1, 4, 7	Greek
Έχει χτυπήσει πολύ.	6	Greek
΄Οχι ακριβώς περίεργο, απλώς διαφέρετε πολύ από το γιο σας.	7	Greek
Kαλό παιδί.	5, 8	Greek
Και να περάσεις απο 'μένα, υπάρχουν 50 αστυνόμοι έξω.	4, 8	Greek
- Έχει δικό του όλο τό Τέξας.	7, 8	Greek
Ο Σούτερ ξέρει τι κάνει.	8	Greek
Απάντησε.	1	Greek
Είσαι ακόμη ερωτευμένος μαζί της.	8	Greek
Φέρε τον σε μένα!	1, 4	Greek
Ξέρεις, δεν εξυπηρετεί κανέναν, ούτε καν τον ίδιο.	1, 3	Greek
-Εξαρτάται.	6	Greek
Σε παρακαλώ μη φεύγεις.	4, 6	Greek
Δεν είναι τίποτε.	8	Greek
Το κολλέγιο θα είναι τυχερό αν διδάσκεις εσύ εκεί.	8	Greek
Θα το απολάψω αυτό.	5, 8	Greek
Αστεία λες.	2, 5	Greek
Λoύις, άσ'τo.	1	Greek
Τους πετύχαμε πάλι!	1	Greek
Τον ξέρω αυτόν.	7	Greek
Το ότι καταλαβαίνουμε, χωρίς ερωτήσεις, σαν να είναι αυτονόητο... το ότι ποτέ δεν πρόκειται να χωρίσουμε.	5, 8	Greek
- Νικούσες;	2, 7	Greek
Όπως και τις άλλες φορές!	2	Greek
- Τυρί doodles!	2	Greek
-Περιμένει η κα Xάρβεϊ.	2	Greek
Παίζω μαζί σου.	5	Greek
Είναι ένα γνωστό κλασικό μπαλέτο.	2, 3, 8	Greek
Το αγαπημένο μου χρώμα είναι το μπλε.	2	Greek
Όταν η ανθρωπότητα θα είναι έτοιμη για μια ζωή καινούργια και καλλίτερη, όλο αυτό θα επανέλθει... όταν θελήσει ο Θεός.	2, 6	Greek
Αυτές είναι σαδίστριες δολοφόνοι! Περίμενε ένα λεπτό.	4	Greek
Ευτυχώς που είστε καλά.	5, 7	Greek
Μπαμπά, θέλω να σου μιλήσω!	1	Greek
Ο ήλιος μπορεί να σκοτώσει μετρικούς από μας, σαν την Μπαμπέτ.	4	Greek
Δεν πειράζει, εγώ θα πάρω το έλκηθρο μας.	2, 5	Greek
Θα τον κορόϊδευαν;	4, 6, 7	Greek
Ευχαριστώ, μωρό μου.	5, 8	Greek
Χρειαζόμαστε ορούς γρήγορα.	7	Greek
'Eχω κάνει πoλύ υπoμoνή, Tζόνσoν.	2	Greek
Νόμιζα ότι έκανα έξυπνη κίνηση.	6, 7	Greek
- Ναι; Για να δούμε.	5, 8	Greek
Χάρβεϊ, δεν υπάρχει περίπτωση ο Εισαγγε- λέας να χειρίζεται μόνος του την υπόθεση.	1	Greek
Για περίπτωση.	4	Greek
Αυτά τα αμάξια δεν είναι για μεγάλες αποστάσεις...	5	Greek
και ήταν τόσο λυπημένος, που με έκλεισε μέσα..	6	Greek
Χωρίς σημαίες και τέτοια.	1	Greek
- Ξέρω το νόμο.	5	Greek
Για δοκίμασε αυτή τη ποίηση.	2	Greek
Δε θα σ' αφήσω.	2, 8	Greek
- Τώρα τους αγκώνες.	2, 5	Greek
Αλλά, ίσως, είναι έτοιμοι να τα καταφέρουν μόνοι τους.	2, 5, 8	Greek
Μια μέρα, ήταν η σειρά μου, και ήμουν αποφασισμένη να της δείξω, οτι είμαι τόσο καλή όσο και αυτή.	2	Greek
Δεν έπρεπε να συμβεί.	2, 4	Greek
Βγές έξω.	1	Greek
Πολύ καλά, όπως θέλεις!	1, 3	Greek
"Ο κόσμος θά δεί τά πορτρέτα της. Θά απεικονίζεται μαζί μου.  Θά σκεφθούν, ""Τί κρίμα πού χάθηκαν καί δέν άφησαν τίποτα πίσω τους."""	2, 5	Greek
If this baby comes your way , look out !	1, 2	English
Say , don't annoy me .	1	English
Otherwise ... she'll kill him .	4	English
Now he's found me .	4	English
So much fun and imagination .	5	English
Oh , you're cute .	8	English
[PERSON] , I'm not gonna leave you !	8	English
You could be talking about , , kids who have been victims of human trafficking .	3, 4, 6	English
Shall I go ?	1, 6	English
He's all tired out , though , the poor little guy .	6	English
Go ! Go !	2	English
I was almost in tears .	6	English
I'll protect you .	8	English
[LOCATION] to [LOCATION] , hauling shit for assholes .	3	English
It's great to see you , [PERSON] .	5	English
You have to see me !	5	English
I've had a very trying evening .	6	English
What happened to him ?	7	English
You frightened me .	4	English
You're afraid of me .	4	English
Did you spend every cent you ever made ?	3	English
Good old Swayback .	8	English
[PERSON] tried to straighten her out .	6	English
Bodies strung out , bodies with the skins ripped off , the hearts torn from the cadavers .	3, 6	English
When we are strong ... And are at war ?	2	English
[PERSON] , I don't mind you being stupid , but this is crazy .	3	English
You're still in FBI custody .	8, 1	English
I never signed any contract !	1	English
Transmission's weak .	4	English
But there's nothing for me to do after 3:00 .	6	English
Something very unusual has happened .	7	English
I appreciate what you're doing , [PERSON] .	8	English
I thought you didn't --	2, 7	English
Perfect camouflage .	5	English
This itself may have placed the entire country's safety in jeopardy .	4	English
Ain't that the girl [PERSON] went lookin' for ?	7	English
Morning , sir .	5	English
A little expensive , but lots of fun !	5	English
She'd come to [LOCATION] to look for her child . I helped her as far as I could .	5	English
That's great .	2, 5	English
You can rot for all I care .	3	English
You'll make no calls .	1	English
They meant nothing .	6	English
Imagine interplanetary trade , how exciting that would be ?	2	English
You won't stay here , and I can't go with you .	6	English
He tied her up ... He beat her with some instrument and strangled her .	4	English
What's the matter ?	2, 4, 6	English
He's ready for a fall .	3, 4, 5	English
Oh , my God , what an idiot .	3	English
I want you to look after me .	8	English
Why should that worry you ?	7	English
The most horrible thing was , you'd smile when you were mad .	6	English
I've missed so much !	6	English
I'm still wearing a bow tie so I can look just like you .	8	English
Why you drinkin' that cold coffee ?	7	English
Well , now there's no sunshine in my life .	6	English
Don't worry , he's harmless .	8	English
What is it , [PERSON] ?	4	English
Oh , God ...	6, 7	English
I just want you to leave me alone .	1, 3, 6	English
How are you going to sing ?	7	English
You'll meet him shortly .	2, 5	English
And then , I see your face .	5	English
Don't ruin it .	1	English
[PERSON] is stupid .	3	English
The little people identify with you .	5	English
There's the finest deerskin jacket I've ever seen .	5	English
Ah , for fuck's sake , mate .	1	English
You ain't gonna take no car .	1	English
And that's why I don't wan na talk about it if I don't have to .	1	English
How are things ?	2	English
Careful now , I have feelings like a real human being .	3	English
I know you ... you murdering son of a bitch .	1, 3	English
Over here !	3	English
I'm about to go get a slice right now .	2	English
We got him !	5	English
They took the one with the collar ?	1, 4, 6, 7	English
Just be yourself and you'll be fine . It sounds trite , but it's true .	8	English
Escape is impossible .	4	English
We'll make an honest buck together .	8	English
You got it .	8, 5	English
I can't afford a fuckin' dream house !	1	English
Fuck [LOCATION] .	1, 3	English
Tonight ? No , no . No feathers .	7	English
Accept one of these cigars , professor .	2	English
That's wonderful !	5, 7	English
And don't bother sending a bill , either !	1	English
I'm not getting paid to be undercover , so I work at this garage all day .	1	English
I wondered why I was suddenly being treated with respect .	7	English
Come on . Stop complaining .	1	English
Listen , I know why you've come .	2, 4	English
Listen , I'll pay his fare . - Fine .	2	English
Who's askin' to see me ?	7	English
Why are all in need to run after anything .	1, 2	English
I don't like reporters .	1	English
Splendid .	5	English
What's this Chicken Volavent ?	7	English
It will get me in much trouble .  	4, 6	English
Over my dead body .	1	English
Do we look like people that are capable of committing a crime ?	8	English
Give us water !	4	English
Lay off .	1	English
You know something ? Off the screen , I don't think I've ever seen you laugh before .	7	English
Look at all that underwear .	7	English
The sea makes me seasick and I'm afraid of flying .	4	English
You mean to tell me you wear a different dress for different times of the day ?	7	English
That must be good .	5	English
Don't hit daddy .	4	English
Well , she wanted me to tell you that she's ... she's all right .	8, 5	English
You might have noticed I've got a slight weight problem .	6	English
[PERSON] olla ! , I told him my problem , I told him I loved you and he told me to keep my trap shut .	1	English
The Delta [PERSON] house is having a party tonight , and you are cordially invited .	2	English
Oh , wait .	2	English
I never bet when I'm sure I'm right .	5	English
I'm dead . I'm the walking dead . Are you gonna kill him or not ?	1, 2	English
You talk like a madman .	3	English
He's come for the king . - You snake !	3	English
I learned it from you , [PERSON] .	8	English
Well , I'm pleased to have seen you again , Mr. [PERSON] .	5	English
And a bad king is bad king , and worse one if he's [PERSON] .	3	English
What's with those cicadas anyway ?	7	English
For God's sake , shut that up !	1	English
So no more crimes .	5	English
I guess we're all trying to prove something to ourselves .	6	English
How did you find me ?	6, 7	English
You said you'd never leave me .	6	English
That's where we'll find him .	2	English
What is ...	2, 4, 7	English
I do . I like her a lot .	8, 2, 5	English
Well , I don't give a damn about the reason .	1	English
Pablo !	1	English
Come on , Mr. [PERSON] . Really .	1	English
It's gonna be a massacre .	4	English
The professor wants to talk to me .	2	English
No , it's OK .	2, 5	English
Oh , I just don't think I'm gonna have the time for it .	6	English
What'd he die of ?	8	English
Don't give up , [PERSON] !	2, 5	English
Tell him he's too tough for me .	1	English
This ain't the time to retire .	1, 2	English
Lacy , watch out !	4, 7	English
You want me to talk with the Federal Bureau of Narcotics see if they have any problems ? Internal Revenue Service ?	3	English
Take care of you .	2	English
Oh , you got me . - That better ?	7	English
I want these pots so shiny I can see my face in them !	2, 5	English
I'd like to speak to ...	2	English
Another example of the pastoral beliefs you Anglicize .	3, 6	English
It seems I try to do the impossible .	6	English
Come clean right now . Uh ...	4	English
I'm sorry , are we here to have a sarcastic back and forth , or would you like to exchange useful information ?	1	English
Now , we must act immediately .	2	English
Don't do anything foolish .	3	English
Did the Lord say : His Pa is a sinner and not meant to be happy ?  - No . 	1	English
Hey , come on !	1, 2	English
Now , my news .	2	English
I Iove you , [PERSON] .	5	English
This fucking guy's scaring me .	4	English
That's very thoughtful , Junior , but these are Mom's private drawers .	8, 3	English
The sooner you get that , the better off we're all gonna be .	2	English
It ain't safe to go that way ...	4	English
Assuming that the captain's conduct often showed bad judgement . - - Would that be inconsistent with your diagnosis of him ?	2	English
Even if it could be your involvement with drugs has vindicated me .	1, 3	English
It's a miracle man .	5	English
I mean a laugh from the heart .	5	English
Five Wounds , for short .	6	English
What if the Russians were raping your sister ?	3	English
Yeah , right .	3, 7	English
Are you our lawyer ?	2	English
How are you feeling ?	8	English
That girl doesn't exist anymore .	6	English
Perhaps that's why I'm incapable of having a child .	4	English
Shit's gonna hit the fan .	4	English
Get rid of her .	1	English
You're doin' fine , you're doin' just fine .	8	English
He says that [LOCATION] will uphold it in every court ... but I will drag you through every court , don't forget that .	1	English
I'll go back to [LOCATION] and be a Fuller Brush girl .	2	English
Oh , man , you guys are the greatest !	5	English
How come they're happier than us ?	1, 3	English
Coates , [PERSON] , take the first sentry duty .	8	English
Stand back .	1	English
He's crazier than I am .	4	English
Are we supposed to just sit here and wait ?	1	English
The asshole's got files on me .	3	English
I'll travel wherever there are Russian commissions .	2	English
By stepping on a bottle and breaking the heel of my shoe !	1	English
Sorry more people weren't there to hear it .	6	English
Can you see anything ... anything at all ?	2	English
Evil spirits pervade this road	4	English
Just a friendly place to have a beer .	5	English
What makes you think he'll listen to me ?	6	English
Come on , this is me you're talking to , [PERSON] ! Come on , [PERSON] .	1, 2	English
They don't know he's here , do they ?	7	English
Listen , you son of a bitch .	1	English
Fucking cops always forget something .	1, 3	English
Don't you understand ?	1, 4, 7	English
I'll need help bathing and changing .	8	English
You . I trust you , [PERSON] .	8	English
Why would a rival biker gang crash a bar full of [LOCATION] ?	1, 7	English
Please stop !	4, 6	English
To Oscar , [PERSON] was heaven - sent :	8, 5	English
It's not a role . It's a job , a rent - paying job . Now come on ;	2, 5	English
It's fine .	8, 6	English
We are witnessing the making of a legend , [PERSON] , the kind of thing that front covers are made of .	8, 2, 5	English
Look how stupid you're acting .	3	English
He used to use his hands .	6	English
I do not know who he brings .	2, 4	English
How could she be there if she got on that helicopter ?	4, 7	English
But he's got a good practice .	8	English
Just in case .	4	English
[PERSON] , you remind me of someone I used to know .	7	English
I must be working out some screwed - up karma .	1	English
You sober right now ? Uh-huh . Eight months .	5, 7	English
[PERSON] presses hard on every case , [PERSON] .	8	English
If I don't get a room , you and your hotel are fourth on my list to be sued !	1	English
I have asked you here to meet the woman selected to represent the most discriminating publication in the world , Quality .	3	English
They'll kill you and all of us .	4	English
No . ls someone looking for me ?	7	English
I thought he only wanted me for their sake , but ... after his wife died , I realized he really does love me .	5	English
No , for [PERSON] and [PERSON] .	6, 7	English
Thank you for keeping us alive .	8	English
A boy is dead and my son and husband are still out there .	4	English
You can do this ?	7	English
You're gonna regret this !	1	English
[PERSON] , keep that mule's asshole away from me before I have to break him .	3	English
Asking who I sleep with isn't personal anymore ? What do you want to know , if I smoke ?	1	English
See you later .	2, 5	English
That's terrible .	6	English
Now , you listen to me .	1	English
Bastards !	3	English
I was getting a message for you .	8	English
It went ' pop . ' Exploded .	8	English
There's something wrong with us , something very , very wrong with us .	4	English
And the kid you're taking off ... you give him , .	7	English
And you know how vain women are .	3	English
Sometimes , as I'm falling asleep I can feel him breathing on my face and touching me with his hand .	6	English
The devil with him !	1	English
Look , if you don't want me in your Army , kick me out ... but get off my back .	1	English
You think that's gonna fix it , huh ?	1	English
There's hope that we'll both survive .	5	English
I forget a lot of things and I. . .	6	English
Hallelujah , brothers !	5	English
She's an unlucky driver .	6	English
Grandfather , I think it's a good day to die .	6	English
Listen , buddy , you're getting by pretty easy .	8	English
Get out of here , before I make you beg for your life .	1	English
You'll see what man's carved out for himself after centuries of fighting for something better than jungle law .	5	English
I know all the other teams laugh at me .	6	English
I shall always think about it .	6	English
They're dead , but they're coming for us .	4	English
Nail it up !	2	English
It was super quick . Okay , will I see you later ?	2	English
Times have changed , haven't they ?	5, 6	English
and you will be responsible for keeping weapons out of space .  	4, 7	English
Hey , if you think I look bad , you oughta see the other guy's knuckles .	7	English
Now what makes you think I hate her ?	7	English
You insist on putting me into a position that I don't in the least relish .	6	English
I love [LOCATION] on summer afternoons when everyone's away .	5	English
If there was a bum within miles , I was completely attracted to him .	3, 5, 6	English
I'm trying to find some peace with this and you're not helping .	1	English
... And I don't think we need to discuss the Trinity any more .	8, 1	English
I mean I can't swim .	4	English
Have you got anybody with you ?	8, 2, 4	English
Now , don't be a child .	3	English
Satan !	7	English
A Russian friend of mine has written an important novel .	2	English
I tried to make it easier for you .	6	English
But there is nothing to be alarmed about .	8	English
She'll kill you ! She killed him !	4	English
And may the best man win .	8, 2, 5	English
But inevitably , there comes a time for waking up , even for us .	2	English
Oh , great , [PERSON] .	8, 5	English
Scramble the best spin team we have .	2, 5	English
It's good to see home folks .	5	English
Too many of those candied doughnuts .	3	English
This time I'm going right to the top to get you out .	8	English
First [PERSON] , now [PERSON] .	6	English
You poor son of a bitch .	1, 3	English
You'll never guess where we've just been .	2, 7	English
Why did you turn away from me ?	8, 1, 4	English
That's great , eh ?	5	English
They must be there .	2	English
It was just so perfect I just had to catch it .	5	English
You fooled this young whippersnapper , but you didn't fool nobody else !	3	English
It could give us time to bring our carriers within range .	2	English
No pain .	5	English
Hello , sailor !	8, 5, 7	English
Hmm . - ( imitates monkey gibbering )	3	English
Mom would love that .	2	English
I can't believe this is you , [PERSON] .	7	English
Why would he buy a bible ?	7	English
How are you , [PERSON] ? - Fine . This is a surprise .	7	English
How did you do that ?	7	English
These guys , they don't do it for money . - What ? - They don't do it for money .	4	English
They're not looking for a murder weapon ?	4	English
What the hels going on ? 	1	English
Great view . I bet you can see all the way to the ocean from out here .	2, 5, 7	English
Of course I'm talking about Delta , you twerp !	1	English
We have one more outstanding piece of business , the Supreme Court nominee .	5	English
Is this record correct or not ?	1	English
That's it .	5	English
What am I gonna do ?	4, 6	English
But you shouldn't open other people's letters .  	1	English
I really have . - I - I - I must go now .	4	English
So that's what you came to see me about ?	7	English
I knew that there had been a trial out of [LOCATION] , so my first thought was to contact that attorney and see how it was going over there .	2	English
Oh , Captain , you got to stop this .	8, 6	English
Bloomy , were you asleep ?	2, 6	English
Murdering unarmed men ?	3	English
They ain't bad for waffles .	5	English
She's got the curse .	4	English
And what are you focused on now ?	2, 3	English
I'll help you .	8	English
Only those I trust know that .	8	English
What does it say ?	2	English
Judge , it's our theory that Mr. [PERSON] is being framed in this case .	7	English
His words are too profound	5, 7	English
Tell the boys anyone caught arguing with a depositor will be fired .	1	English
Well , then , our timing's perfect .	5	English
No more soap opera .	3	English
This is absurd .	7	English
That's it , [PERSON] .	8, 1, 3	English
Yes , sir .	8, 4	English
It's everything we ever wanted to know about [LOCATION] and were afraid to ask .	8, 5	English
